Transaction_ID,Date,Region,Department,Category,Revenue,COGS,Operational_Exp,Net_Profit,Profit_Margin_%
TRX-1001,01-July-2025,North America,Sales,Enterprise Software,25000,12000.0,3000.0,10000.0,0.4
TRX-1002,01-July-2025,EMEA,IT,Hardware,8500,6000.0,500.0,2000.0,0.235
TRX-1003,02-July-2025,APAC,Services,Consulting,15000,5000.0,2000.0,8000.0,0.533
TRX-1004,03-July-2025,North America,Sales,Cloud Services,12000,8000.0,1000.0,3000.0,0.25
TRX-1005,03-July-2025,LATAM,Marketing,Ad Spend,4500,2000.0,500.0,2000.0,0.444
TRX-1006,04-July-2025,North America,IT,Hardware,32000,25000.0,2000.0,5000.0,0.156
TRX-1007,05-July-2025,EMEA,Sales,Enterprise Software,18500,9000.0,2500.0,7000.0,0.378
TRX-1008,06-July-2025,APAC,IT,Cloud Services,9800,6500.0,800.0,2500.0,0.255
TRX-1009,07-July-2025,North America,Services,Consulting,22000,8000.0,3000.0,11000.0,0.5
TRX-1010,08-July-2025,EMEA,Sales,Consumer Software,5600,2000.0,600.0,3000.0,0.536
TRX-1011,09-July-2025,LATAM,IT,Hardware,11200,8500.0,1000.0,1700.0,0.152
TRX-1012,10-July-2025,North America,Marketing,Events,15000,10000.0,2000.0,3000.0,0.2
TRX-1013,10-July-2025,APAC,Sales,Enterprise Software,21000,11000.0,2500.0,7500.0,0.357
TRX-1014,11-July-2025,EMEA,Services,Support,6700,3000.0,700.0,3000.0,0.448
TRX-1015,12-July-2025,North America,IT,Cloud Services,45000,30000.0,4000.0,11000.0,0.244
TRX-1016,13-July-2025,LATAM,Sales,Consumer Software,3400,1200.0,400.0,1800.0,0.529
TRX-1017,14-July-2025,APAC,IT,Hardware,14500,11000.0,1000.0,2500.0,0.172
TRX-1018,15-July-2025,North America,Sales,Enterprise Software,28000,14000.0,3500.0,10500.0,0.375
TRX-1019,16-July-2025,EMEA,Marketing,Ad Spend,9200,4000.0,1200.0,4000.0,0.435
TRX-1020,17-July-2025,North America,Services,Consulting,31000,12000.0,4000.0,15000.0,0.484
TRX-1021,18-July-2025,APAC,Sales,Cloud Services,13500,9000.0,1500.0,3000.0,0.222
TRX-1022,19-July-2025,EMEA,IT,Hardware,7800,5500.0,800.0,1500.0,0.192
TRX-1023,20-July-2025,North America,Sales,Enterprise Software,26500,13000.0,3000.0,10500.0,0.396
TRX-1024,21-July-2025,LATAM,Services,Support,4200,2000.0,500.0,1700.0,0.405
TRX-1025,22-July-2025,APAC,Marketing,Events,8900,6000.0,1000.0,1900.0,0.213
TRX-1026,23-July-2025,North America,IT,Cloud Services,38000,26000.0,3000.0,9000.0,0.237
TRX-1027,24-July-2025,EMEA,Sales,Consumer Software,6100,2200.0,700.0,3200.0,0.525
TRX-1028,25-July-2025,North America,Services,Consulting,24500,9000.0,3500.0,12000.0,0.49
TRX-1029,26-July-2025,APAC,IT,Hardware,16200,12500.0,1200.0,2500.0,0.154
TRX-1030,27-July-2025,LATAM,Sales,Enterprise Software,19000,10000.0,2000.0,7000.0,0.368
TRX-1031,28-July-2025,North America,Marketing,Ad Spend,12500,6000.0,1500.0,5000.0,0.4
TRX-1032,29-July-2025,EMEA,Sales,Cloud Services,14200,9500.0,1700.0,3000.0,0.211
TRX-1033,30-July-2025,APAC,Services,Support,5800,2500.0,800.0,2500.0,0.431
TRX-1034,31-July-2025,North America,IT,Hardware,29000,22000.0,2500.0,4500.0,0.155
TRX-1035,01-August-2025,North America,Sales,Enterprise Software,25500,12500.0,3000.0,10000.0,0.392
TRX-1036,02-August-2025,EMEA,IT,Cloud Services,11500,7800.0,1200.0,2500.0,0.217
TRX-1037,03-August-2025,APAC,Marketing,Ad Spend,7200,3000.0,1000.0,3200.0,0.444
TRX-1038,04-August-2025,LATAM,Sales,Consumer Software,3800,1400.0,500.0,1900.0,0.5
TRX-1039,05-August-2025,North America,Services,Consulting,27000,10000.0,4000.0,13000.0,0.481
TRX-1040,06-August-2025,EMEA,IT,Hardware,9500,7000.0,1000.0,1500.0,0.158
TRX-1041,07-August-2025,APAC,Sales,Enterprise Software,22500,11500.0,2800.0,8200.0,0.364
TRX-1042,08-August-2025,North America,Marketing,Events,18000,12000.0,2500.0,3500.0,0.194
